theme,n_hits,total_words,share,doc_id,fy_start,budget_type,fm_name,fm_party_family
Infrastructure,1,3472,0.2880184331797235,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Green_Climate,1,3472,0.2880184331797235,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Digital_Tech,1,3472,0.2880184331797235,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Welfare_Social,5,3472,1.4400921658986177,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Manufacturing_PLI,38,3472,10.944700460829493,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Fiscal_Deficit,99,3472,28.51382488479263,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Defence,55,3472,15.841013824884794,bs194748,1947,full,R.K. Shanmukham Chetty,INC
FDI_Openness,34,3472,9.792626728110598,bs194748,1947,full,R.K. Shanmukham Chetty,INC
Infrastructure,4,5107,0.7832386919913843,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Green_Climate,2,5107,0.39161934599569215,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Digital_Tech,1,5107,0.19580967299784607,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Welfare_Social,8,5107,1.5664773839827686,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Manufacturing_PLI,32,5107,6.265909535931074,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Fiscal_Deficit,218,5107,42.68650871353045,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Defence,60,5107,11.748580379870765,bs194849,1948,full,R.K. Shanmukham Chetty,INC
FDI_Openness,57,5107,11.161151360877227,bs194849,1948,full,R.K. Shanmukham Chetty,INC
Infrastructure,3,4024,0.7455268389662028,bs194950,1949,full,John Mathai,INC
Green_Climate,2,4024,0.49701789264413515,bs194950,1949,full,John Mathai,INC
Digital_Tech,2,4024,0.49701789264413515,bs194950,1949,full,John Mathai,INC
Welfare_Social,10,4024,2.485089463220676,bs194950,1949,full,John Mathai,INC
Manufacturing_PLI,44,4024,10.934393638170976,bs194950,1949,full,John Mathai,INC
Fiscal_Deficit,122,4024,30.318091451292243,bs194950,1949,full,John Mathai,INC
Defence,50,4024,12.42544731610338,bs194950,1949,full,John Mathai,INC
FDI_Openness,48,4024,11.928429423459244,bs194950,1949,full,John Mathai,INC
Infrastructure,3,3254,0.9219422249539029,bs195051,1950,full,C.D. Deshmukh,INC
Green_Climate,3,3254,0.9219422249539029,bs195051,1950,full,C.D. Deshmukh,INC
Digital_Tech,2,3254,0.6146281499692685,bs195051,1950,full,C.D. Deshmukh,INC
Welfare_Social,4,3254,1.229256299938537,bs195051,1950,full,C.D. Deshmukh,INC
Manufacturing_PLI,44,3254,13.521819299323909,bs195051,1950,full,C.D. Deshmukh,INC
Fiscal_Deficit,99,3254,30.424093423478798,bs195051,1950,full,C.D. Deshmukh,INC
