word,es_tf,bs_tf,year,shared
sector,0.00636290105149636,0.008133971291866028,1998,0.00636290105149636
investment,0.0062280938258290645,0.004146730462519936,1998,0.004146730462519936
credit,0.004906983014289566,0.003668261562998405,1998,0.003668261562998405
development,0.0036397950930169855,0.005901116427432217,1998,0.0036397950930169855
increase,0.0036128336478835265,0.005901116427432217,1998,0.0036128336478835265
tax,0.0033701806416823942,0.01467304625199362,1998,0.0033701806416823942
capital,0.005554057697492586,0.0033492822966507177,1998,0.0033492822966507177
foreign,0.0041251011054192505,0.003189792663476874,1998,0.003189792663476874
rate,0.008762469668374224,0.003189792663476874,1998,0.003189792663476874
increased,0.003154489080614721,0.0033492822966507177,1998,0.003154489080614721
infrastructure,0.002992720409813966,0.0030303030303030303,1998,0.002992720409813966
public,0.004313831221353465,0.0028708133971291866,1998,0.0028708133971291866
sector,0.0075534706209747955,0.010303687635574838,1999,0.0075534706209747955
rate,0.004876626646524078,0.00777295733911786,1999,0.004876626646524078
development,0.004479075561209615,0.006869125090383225,1999,0.004479075561209615
banks,0.004081524475895153,0.005061460592913955,1999,0.004081524475895153
capital,0.003816490419018844,0.006146059291395517,1999,0.003816490419018844
credit,0.0042670483157085685,0.0034345625451916123,1999,0.0034345625451916123
increase,0.003233415493890965,0.0036153289949385392,1999,0.003233415493890965
public,0.004055021070207522,0.0030730296456977584,1999,0.0030730296456977584
major,0.0029418780313270254,0.0034345625451916123,1999,0.0029418780313270254
investment,0.005804245845591158,0.0028922631959508315,1999,0.0028922631959508315
infrastructure,0.0027563541915136096,0.0036153289949385392,1999,0.0027563541915136096
growth,0.007367946781161379,0.0027114967462039045,1999,0.0027114967462039045
sector,0.007354626330812342,0.007012856904324595,2000,0.007012856904324595
rate,0.005437839864991562,0.006177992987143096,2000,0.005437839864991562
banks,0.004416942725587016,0.005844047420270496,2000,0.004416942725587016
capital,0.004312769548096756,0.004842210719652696,2000,0.004312769548096756
growth,0.004604454445069484,0.004174319585907497,2000,0.004174319585907497
credit,0.0040627539221201325,0.004341292369343797,2000,0.0040627539221201325
public,0.003812738296143509,0.004007346802471197,2000,0.003812738296143509
development,0.003646061212159093,0.005343129069961597,2000,0.003646061212159093
plan,0.0036043919411629893,0.004508265152780097,2000,0.0036043919411629893
increase,0.003312707044190262,0.0035064284521622974,2000,0.003312707044190262
financial,0.004416942725587016,0.003172482885289698,2000,0.003172482885289698
based,0.002729337250244807,0.0033394556687259976,2000,0.002729337250244807
sector,0.006545299561617145,0.008234519104084322,2001,0.006545299561617145
rate,0.0043686069167072576,0.00691699604743083,2001,0.0043686069167072576
growth,0.004520823185582075,0.003458498023715415,2001,0.003458498023715415
public,0.0030595470043838285,0.004281949934123847,2001,0.0030595470043838285
banks,0.0029986604968339015,0.0029644268774703555,2001,0.0029644268774703555
development,0.002816000974184121,0.004446640316205534,2001,0.002816000974184121
capital,0.0034705309303458354,0.0027997364953886695,2001,0.0027997364953886695
credit,0.0029225523623964927,0.0027997364953886695,2001,0.0027997364953886695
plan,0.002755114466634194,0.003129117259552042,2001,0.002755114466634194
investment,0.0027855577204091574,0.002635046113306983,2001,0.002635046113306983
increase,0.0025876765708718946,0.003952569169960474,2001,0.0025876765708718946
rates,0.0025115684364344863,0.004446640316205534,2001,0.0025115684364344863
sector,0.006372966764237282,0.009545804464973056,2002,0.006372966764237282
rate,0.004693270097694122,0.005080831408775982,2002,0.004693270097694122
development,0.0033346919115195077,0.004618937644341801,2002,0.0033346919115195077
rates,0.0033346919115195077,0.004618937644341801,2002,0.0033346919115195077
public,0.0032358862252522633,0.0033872209391839878,2002,0.0032358862252522633
tax,0.0031988340929020465,0.010931485758275596,2002,0.0031988340929020465
financial,0.003124729828201613,0.003233256351039261,2002,0.003124729828201613
banks,0.0029641705880173405,0.003695150115473441,2002,0.0029641705880173405
march,0.0029271184556671236,0.003079291762894534,2002,0.0029271184556671236
growth,0.004594464411426877,0.0029253271747498076,2002,0.0029253271747498076
plan,0.002890066323316907,0.0033872209391839878,2002,0.002890066323316907
current,0.0028406634801832844,0.0033872209391839878,2002,0.0028406634801832844
sector,0.006057944432245314,0.0045117628101836935,2003,0.0045117628101836935
development,0.003875017760498069,0.004350628424105704,2003,0.003875017760498069
growth,0.00524419070254072,0.003867225265871737,2003,0.003867225265871737
rate,0.0035391828879215697,0.003544956493715759,2003,0.0035391828879215697
capital,0.003242098192950051,0.003061553335481792,2003,0.003061553335481792
current,0.004081685374391299,0.0029004189494038026,2003,0.0029004189494038026
scheme,0.0026995957064803212,0.006928778601353529,2003,0.0026995957064803212
country,0.002841679691031917,0.002578150177247825,2003,0.002578150177247825
public,0.003112930934266782,0.002578150177247825,2003,0.002578150177247825
tax,0.0025575117219287253,0.014502094747019014,2003,0.0025575117219287253
expenditure,0.0028933465945052248,0.0024170157911698356,2003,0.0024170157911698356
credit,0.002260427026957207,0.002578150177247825,2003,0.002260427026957207
rates,0.002260427026957207,0.004672897196261682,2003,0.002260427026957207
sector,0.006432539805704709,0.007676841528057028,2004,0.006432539805704709
rate,0.004469412458487228,0.0053006762931822335,2004,0.004469412458487228
scheme,0.003708991588814054,0.008590751233778103,2004,0.003708991588814054
credit,0.00384866072814178,0.003655638822884299,2004,0.003655638822884299
capital,0.003646916415779509,0.0053006762931822335,2004,0.003646916415779509
development,0.003670194605667463,0.003472856881740084,2004,0.003472856881740084
services,0.003732269778702008,0.003472856881740084,2004,0.003472856881740084
public,0.0033908563270120115,0.004021202705172729,2004,0.0033908563270120115
growth,0.006890344206834476,0.003290074940595869,2004,0.003290074940595869
expenditure,0.0033908563270120115,0.003107292999451654,2004,0.003107292999451654
policy,0.0029252925292529252,0.003107292999451654,2004,0.0029252925292529252
investment,0.0028632173562183802,0.003838420764028514,2004,0.0028632173562183802
sector,0.006731693913999175,0.006866197183098592,2005,0.006731693913999175
rate,0.003953534520920151,0.006161971830985915,2005,0.003953534520920151
credit,0.004182503701668422,0.0035211267605633804,2005,0.0035211267605633804
growth,0.006586680099525271,0.0035211267605633804,2005,0.0035211267605633804
services,0.003655874585947398,0.0035211267605633804,2005,0.0035211267605633804
development,0.0032818915907252217,0.006690140845070422,2005,0.0032818915907252217
banks,0.0032284654485506253,0.005457746478873239,2005,0.0032284654485506253
capital,0.003777991482346476,0.0031690140845070424,2005,0.0031690140845070424
scheme,0.002999496267802354,0.005633802816901409,2005,0.002999496267802354
investment,0.0029918639617774116,0.0038732394366197184,2005,0.0029918639617774116
tax,0.0028468501473035064,0.01426056338028169,2005,0.0028468501473035064
current,0.004037489887194517,0.0028169014084507044,2005,0.0028169014084507044
sector,0.006711669019941587,0.00612205854218481,2006,0.00612205854218481
rate,0.004893522369006402,0.005930744212741534,2006,0.004893522369006402
services,0.004255236842614263,0.004400229577195332,2006,0.004255236842614263
credit,0.0039070811009458235,0.005739429883298259,2006,0.0039070811009458235
development,0.0037716872014080965,0.007078630189401186,2006,0.0037716872014080965
growth,0.008916655383841706,0.0034436579299789555,2006,0.0034436579299789555
investment,0.0034041894740914104,0.004017600918308781,2006,0.0034041894740914104
increase,0.003307479545850177,0.005165486894968433,2006,0.003307479545850177
expenditure,0.003423531459739657,0.0028697149416491295,2006,0.0028697149416491295
tax,0.002862613875940504,0.010330973789936866,2006,0.002862613875940504
scheme,0.002746561962051024,0.003826286588865506,2006,0.002746561962051024
banks,0.002533800119920311,0.00325234360053568,2006,0.002533800119920311
growth,0.009778513004319455,0.005942112325091048,2007,0.005942112325091048
sector,0.006396470912599945,0.004408663983132068,2007,0.004408663983132068
rate,0.004025365315687896,0.004983707111366686,2007,0.004025365315687896
development,0.0035107067365131883,0.006133793367835921,2007,0.0035107067365131883
capital,0.004062126642771804,0.003258577726662833,2007,0.003258577726662833
services,0.003841558680268358,0.003258577726662833,2007,0.003258577726662833
tax,0.0030511901479643414,0.011692543607437225,2007,0.0030511901479643414
increase,0.0026835768771252644,0.0055587502396013035,2007,0.0026835768771252644
scheme,0.0026835768771252644,0.006900517538815411,2007,0.0026835768771252644
expenditure,0.0036026100542229573,0.0026835345984282154,2007,0.0026835345984282154
