fm_name,fm_party_family,slope,intercept,r_squared,p_value,n,axis,sig,direction
Arun Jaitley,BJP,5.824950872047025e-5,0.0029815466397772406,0.0011581488235589332,0.956678004636426,5,Market-liberal,FALSE,Rising (n.s.)
Arun Jaitley,BJP,4.082531400543611e-4,1.4667703739757476e-4,0.5316411645707055,0.16217125372627295,5,Nationalist,FALSE,Rising (n.s.)
C.D. Deshmukh,INC,-2.6753195302320045e-4,8.57306186942795e-6,0.09362867553374783,0.555342579542115,6,Market-liberal,FALSE,Falling (n.s.)
C.D. Deshmukh,INC,4.3141385873760626e-4,-0.0020577577213463593,0.3769325489585473,0.19478606263013423,6,Nationalist,FALSE,Rising (n.s.)
Manmohan Singh,INC,-0.0026527032102165726,0.009527331050589765,0.38619011102710854,0.37855803889091266,4,Market-liberal,FALSE,Falling (n.s.)
Manmohan Singh,INC,0.0010826753361865488,-0.0030425256662572715,0.7820658709085029,0.11565511766703661,4,Nationalist,FALSE,Rising (n.s.)
Morarji Desai,INC,-5.399466721577249e-4,0.005573502161222913,0.1227450334879997,0.39486918750830874,8,Market-liberal,FALSE,Falling (n.s.)
Morarji Desai,INC,3.9426825760700314e-4,-8.112786748860865e-4,0.40438747706097333,0.09010840529524135,8,Nationalist,TRUE,Rising (p<0.1)
Nirmala Sitharaman,BJP,4.200794598411204e-4,0.0026637301496594316,0.1618269543060376,0.323153791773013,8,Market-liberal,FALSE,Rising (n.s.)
Nirmala Sitharaman,BJP,-3.35497658926526e-4,0.004003329988547353,0.0548811345327766,0.5765554104893388,8,Nationalist,FALSE,Falling (n.s.)
P. Chidambaram,INC,-9.241088429335175e-4,0.004965477471755844,0.5020716560962303,0.049142146321721224,8,Market-liberal,TRUE,Falling (p<0.1)
P. Chidambaram,INC,-4.457553270673838e-6,2.6431385502408155e-4,1.1314429388253415e-4,0.9800572593449589,8,Nationalist,FALSE,Falling (n.s.)
Pranab Mukherjee,INC,-0.001172809733863435,0.0034759875630251966,0.1453643732763131,0.7509758522234018,3,Market-liberal,FALSE,Falling (n.s.)
Pranab Mukherjee,INC,-0.001071053833599683,0.0030058697997167173,0.23331583052579508,0.6790740205848071,3,Nationalist,FALSE,Falling (n.s.)
R. Venkataraman,INC,9.300371653924775e-4,-0.0035276458426600345,0.2240064144883938,0.6861302683215746,3,Market-liberal,FALSE,Rising (n.s.)
R. Venkataraman,INC,6.354298689650519e-4,2.515984794004111e-4,0.2767316174317844,0.6473427919277135,3,Nationalist,FALSE,Rising (n.s.)
T.T. Krishnamachari,INC,1.7816615518857095e-4,7.623391308696073e-4,0.018889231162460714,0.8255608580136362,5,Market-liberal,FALSE,Rising (n.s.)
T.T. Krishnamachari,INC,1.4521330357790968e-4,6.190989378321516e-4,0.9409522172338912,0.006201100292365938,5,Nationalist,TRUE,Rising (p<0.1)
Yashwant Sinha,BJP,0.00125277434468746,0.0015947839663854112,0.1581445642744537,0.6023260578382665,4,Market-liberal,FALSE,Rising (n.s.)
Yashwant Sinha,BJP,-8.781024075455083e-4,0.004921264305766217,0.9978055978641007,0.0010978036543814523,4,Nationalist,TRUE,Falling (p<0.1)
Yashwantrao Chavan,INC,0.0010862226819403882,-0.007816996894403417,0.14461494707090755,0.5277464429888404,5,Market-liberal,FALSE,Rising (n.s.)
Yashwantrao Chavan,INC,3.6913818284604877e-4,2.608107269015889e-5,0.2074960966648316,0.44075044168095495,5,Nationalist,FALSE,Rising (n.s.)
