fm_name,party,fy_start,budget_year,s_socialist,s_capitalist,s_nationalist,s_globalist,axis_market_z,axis_nationalist_z
R.K. Shanmukham Chetty,INC,1947,1947-48,0.004852481675050785,9.779804404547576e-4,8.066072786434399e-4,6.100496979626094e-4,-0.8054292690687884,-0.4607463274428634
R.K. Shanmukham Chetty,INC,1948,1948-49,0.0029026477075221875,0.001981953285562702,0.0017959739671256248,0.0038428315705246983,-0.21326585399076908,-1.6416376704004836
John Mathai,INC,1949,1949-50,0.001587329824645777,0.004294938684521759,7.581148950740403e-4,0.003094080480044852,0.5141170111034787,-1.7938186465482568
C.D. Deshmukh,INC,1950,1950-51,0.0033656323993932675,0.004074301948231373,0.001435098867874919,0.004585404674978173,0.11338033330384542,-2.22247194503825
C.D. Deshmukh,INC,1951,1951-52,0.0025420127442197524,0.0029174455489482964,7.950949593696174e-4,0.0010014648681803873,0.04657481048589827,-0.6728397408942949
C.D. Deshmukh,INC,1952,1952-53,0.004469017671225315,6.91815659598241e-4,0,0,-0.7859232404716425,-0.5642105221518262
C.D. Deshmukh,INC,1953,1953-54,0.004599096276990699,0.003221554085415715,0.0010847034859188785,8.73335662118042e-4,-0.3048522550610606,-0.4529504954401102
C.D. Deshmukh,INC,1954,1954-55,0.0017761832382019594,0.0015827722653578265,0.0037071413465344432,0.0033197490877559474,-0.06746395214822595,-0.3602945604668534
C.D. Deshmukh,INC,1955,1955-56,0.0034957007678830306,0.002193020948091916,0.001841889225890489,0.002370828887144222,-0.28984424656614916,-0.8426343606610792
T.T. Krishnamachari,INC,1956,1956-57,0.0021388325814187367,0.0033498212552177287,7.757546474704897e-4,0,0.21408258885532983,-0.15586794073493343
T.T. Krishnamachari,INC,1957,1957-58,0.0029427620752960795,0.005021888390076756,8.358685439627733e-4,0,0.388122186855521,-0.12422512202578638
Morarji Desai,INC,1958,1958-59,0.0043625042463458245,0.005248015719777291,4.734668852506413e-4,0,0.14883265792716846,-0.3149865042628231
Morarji Desai,INC,1959,1959-60,0.0014080022336302787,0.012588417373355447,1.1801720144147782e-4,0.001724240075929988,2.2126999653121864,-1.4096958789436467
Morarji Desai,INC,1960,1960-61,0.0020965340302615035,0.007299443495030914,5.3430465965632e-4,0,1.0143615502922232,-0.2829626499043889
Morarji Desai,INC,1961,1961-62,0.0018432299620766053,0.004226814256580653,6.849783259910427e-4,0,0.44915829668147883,-0.2036508803090817
Morarji Desai,INC,1962,1962-63,0.00616012615486273,0.00550853244360173,5.873915623972686e-4,0,-0.1593179806344539,-0.2550187078663348
T.T. Krishnamachari,INC,1963,1963-64,0.001450180271752246,0.0023400674307931767,0.0011312397403518493,0,0.14970987200993216,0.03125269200084437
T.T. Krishnamachari,INC,1964,1964-65,0.007003392894673009,0.0053289993495206685,0.0012221517474057546,0,-0.3643634291002309,0.07910705389636191
T.T. Krishnamachari,INC,1965,1965-66,6.052008449896121e-4,0.00458378022469797,0.001308679563638551,0,0.7689143933383858,0.1246536606232146
Sachin Chaudhuri,INC,1966,1966-67,0.002658667741155256,0.006443494073752454,5.048701244454385e-4,0,0.7300718171860522,-0.29845643280341433
Morarji Desai,INC,1967,1967-68,0.005712248940000669,0.005729152988232952,0.003573883640952386,0,-0.025301119904078004,1.3170142650778454
Morarji Desai,INC,1968,1968-69,0.0020111561895624405,0.005804713625639167,0.0024044212210120974,0,0.7318221821834239,0.701431354958535
Morarji Desai,INC,1969,1969-70,0.001722615403931957,0.004061264350559105,0.0010512044539921902,0,0.44014989811503613,-0.010876369736793049
Indira Gandhi,INC,1970,1970-71,0.008390961357057048,0.004401131538088653,0.0017589161365199717,0,-0.8285497277548108,0.3616496812312485
Yashwantrao Chavan,INC,1971,1971-72,0.01190724443270847,0.0025968901064387325,0.001599531984946774,0.002389131510893123,-1.895180066872231,-0.979840785872228
Yashwantrao Chavan,INC,1971,1971-72,0.002908547267909937,0.0037237197476599417,0.002566084027678944,0,0.1347314721172586,0.7865276002838992
Yashwantrao Chavan,INC,1972,1972-73,0.009526344898955864,0.001787634468570791,0.0015808166317962174,9.440111795411041e-4,-1.5801052919437788,-0.22900817037462107
Yashwantrao Chavan,INC,1973,1973-74,0.007962982577976842,0.001790787999349457,0.003063140632555868,0.0012330311324949537,-1.2660585599157328,0.3991245219464835
Yashwantrao Chavan,INC,1974,1974-75,0.0020054909282915478,0.001619933540912451,0.002164624782100704,7.405461300077939e-4,-0.10598443918185838,0.18539755925954457
C. Subramaniam,INC,1975,1975-76,0.00969994187890782,0.00562335334831998,0.002824065871835906,0,-0.8459426509279017,0.922324366110883
C. Subramaniam,INC,1976,1976-77,0.013246256637201567,0.0033392957415205875,0.0030460579620755317,0,-2.0147845657477683,1.0391768058328492
H.M. Patel,Other,1977,1977-78,0.0051582516678059355,0.004094914813917053,0.0013041720504124964,0,-0.24186204696621635,0.12228099087189612
H.M. Patel,Other,1978,1978-79,0.009005572534559537,0.0026720931539795136,0.002630247216321235,8.666633896026863e-4,-1.2983920756744047,0.36410666511288714
Charan Singh,Other,1979,1979-80,0.006824025066566674,0.0024296369661958393,0.0028430411319385006,0.0020509509998199987,-0.9096534114786391,-0.14726925042529
R. Venkataraman,INC,1980,1980-81,0.004873274712712651,0.003275064124737208,0.003043265297536911,0.0027493361618731163,-0.34909067669827315,-0.40949178162999655
R. Venkataraman,INC,1981,1981-82,0.006882256083246288,0.003215888392786976,0.0027086566427338555,0,-0.7637037676713975,0.8615751296293089
R. Venkataraman,INC,1982,1982-83,0.003947831984179735,0.004209695726989248,0.001564788873593902,0,0.023807091464642282,0.2594647598452085
Pranab Mukherjee,INC,1983,1983-84,0.0034800968750813934,0.007425105664054872,0.003055767452732049,0,0.7621843405906205,1.0442876981644047
Pranab Mukherjee,INC,1984,1984-85,0.005536632592846587,0.0033833387685214913,0.0015681776191317307,0.0029463184598443933,-0.46037079951577536,-1.28963780806965
V.P. Singh,INC,1985,1985-86,0.007339227366124339,0.00476651267397459,0.001246457772818133,0,-0.5444540551923186,0.09190128618776786
V.P. Singh,INC,1986,1986-87,0.009479719651306623,0.0032059562172758556,0.003231120195649405,0.001654156774512714,-1.2864205416214853,0.2658732115217991
N.D. Tiwari,INC,1987,1987-88,0.009295929768721255,0.005811787880574818,0.002380263724237295,0,-0.7271721119953084,0.6887153053341357
N.D. Tiwari,INC,1988,1988-89,0.012462805366048676,0.003462258633198212,0.003849154869179094,0,-1.8330714950619749,1.4619118358373795
S.B. Chavan,INC,1989,1989-90,0.01008418625205816,0.003336435896164485,0.002161682788806708,0,-1.3814429084031934,0.5736584330185364
Madhu Dandavate,Other,1990,1990-91,0.009075546201275745,0.004706006846547608,0.00221849509780762,0,-0.9046718676561942,0.6035633584860555
Yashwant Sinha,Other,1991,1991-92,0.007063619366665373,0.009965149428199404,0.0027078374217554724,6.027813082926058e-4,0.5529932979813486,0.5438512215988457
Manmohan Singh,INC,1992,1992-93,0.009262189526325718,0.012404194108328104,0.0014258852726465382,0.003793362256905192,0.6012023455976632,-1.8104056514359659
Manmohan Singh,INC,1993,1993-94,0.006568872845666966,0.014510643136326851,0.0019944047571403773,0.0019039374334604603,1.5634337418601805,-0.516590233177998
Manmohan Singh,INC,1994,1994-95,0.008021317096620512,0.013348716970666481,0.0017458106638782887,0.0022527149941403133,1.0393187227065783,-0.8310353789870801
Manmohan Singh,INC,1995,1995-96,0.016012092495227722,0.011183209848712832,0.0014405646876771688,0,-0.9967585576841153,0.19407549673598493
P. Chidambaram,INC,1996,1996-97,0.008895573451984459,0.011664666997805584,0.0018216214216912716,0,0.5264431325845844,0.3946565579529314
P. Chidambaram,INC,1997,1997-98,0.003849925971090835,0.009645447034574867,0.0014820772602476867,0.002737222217183571,1.1331651587775269,-1.2248950999868442
Yashwant Sinha,BJP,1998,1998-99,0.008063265253312385,0.010671788157102053,0.004541696031100013,0.001339783317721922,0.4942527877929607,1.121215800611022
Yashwant Sinha,BJP,1999,1999-00,0.007032805694045831,0.016767863564440703,0.003750616105419182,0.001538459616546112,1.922942458845299,0.6002268345691624
Yashwant Sinha,BJP,2000,2000-01,0.01170456195858389,0.014021970819736999,0.0025740596111984678,0.0011261634152097014,0.43589179921125926,0.19793466411499963
Yashwant Sinha,BJP,2001,2001-02,0.01177412316772116,0.02103111022354961,0.001971171600357024,0.001441513481169191,1.8271013750643006,-0.2854085009679267
Jaswant Singh,BJP,2002,2002-03,0.009567047869134052,0.019497401231839327,0.0036680858877924387,0.0048827182921274415,1.962094256173793,-1.2035700581546445
Jaswant Singh,BJP,2003,2003-04,0.004864586642842047,0.009927510832626782,8.917562719671929e-4,0.0017706962382262068,0.9862980499505842,-1.0268679047443494
P. Chidambaram,INC,2004,2004-05,0.006264145550306192,0.009614857261483428,3.7956912615388097e-4,4.137673075558065e-4,0.6430428362602852,-0.5822117983529549
P. Chidambaram,INC,2005,2005-06,0.008203098340617348,0.007071625761912577,9.496956470457276e-4,0,-0.25552153320044935,-0.0643086867718571
P. Chidambaram,INC,2006,2006-07,0.00548031222981115,0.007006602504019427,5.10135561592709e-4,8.552747043906424e-4,0.2772925698463585,-0.7458852423454723
P. Chidambaram,INC,2007,2007-08,0.008156377521515101,0.0037377291422998806,3.382089275854772e-4,0.0011349443039114654,-0.9145169826200481,-0.983596962614614
Pranab Mukherjee,INC,2012,2012-13,0.006982227260172834,0.008581616581419439,0.0012994256578682806,3.8576587233560755e-4,0.29194707641326834,-0.08327728304363405
P. Chidambaram,INC,2013,2013-14,0.006110979886095957,0.005393182781930692,8.069697555865612e-4,0,-0.172590083286607,-0.1394368979189006
Arun Jaitley,BJP,2014,2014-15,0.005355790059748545,0.009513921503836687,0.001028113719372411,0,0.8049100323126687,-0.02303089592906022
P. Chidambaram,INC,2014,NA,0.006110979886095957,0.005393182781930692,8.069697555865612e-4,0,-0.172590083286607,-0.1394368979189006
Arun Jaitley,BJP,2015,2015-16,0.006640593520511016,0.005850639866633663,0.0010879458472811767,2.2822495972606784e-4,-0.18705564302293187,-0.11166969926796462
Arun Jaitley,BJP,2016,2016-17,0.002837972777509358,0.008820833510255005,0.0013519974954113452,4.353681972984853e-4,1.1707220151890416,-0.08171418775764729
