word,full,interim,rate_interim,rate_full,log_ratio,n_total
dimension,6,11,7.019471403283892e-4,1.7029437347390043e-5,5.365259719138664,17
tariff,356,0,3.051944088384301e-5,9.339991406683923e-4,-4.935620785221144,356
yarn,307,0,3.051944088384301e-5,8.05623382203452e-4,-4.722305119003859,307
concessions,290,0,3.051944088384301e-5,7.610848537564318e-4,-4.6402568721817845,290
surcharge,269,0,3.051944088384301e-5,7.060666715571717e-4,-4.532003981529762,269
proposal,242,0,3.051944088384301e-5,6.353290087295516e-4,-4.379703455851747,242
desert,8,7,4.577916132576451e-4,2.2269264223510055e-5,4.361565235580923,15
tonne,212,0,3.051944088384301e-5,5.567316055877514e-4,-4.189181549802321,212
tobacco,204,0,3.051944088384301e-5,5.357722980832713e-4,-4.133819551719005,204
exceeding,196,0,3.051944088384301e-5,5.148129905787913e-4,-4.0762480210358625,196
cigarettes,177,0,3.051944088384301e-5,4.6503463525565116e-4,-3.9295377331693007,177
community,176,0,3.051944088384301e-5,4.624147218175911e-4,-3.9213868920484365,176
gold,171,0,3.051944088384301e-5,4.493151546272911e-4,-3.8799272849500683,171
investors,171,0,3.051944088384301e-5,4.493151546272911e-4,-3.8799272849500683,171
plant,165,0,3.051944088384301e-5,4.335956739989311e-4,-3.8285499255844737,165
vote,20,12,7.629860220960752e-4,5.370822548023013e-5,3.8284416663793848,32
textile,164,0,3.051944088384301e-5,4.3097576056087106e-4,-3.8198062925124976,164
cess,162,0,3.051944088384301e-5,4.2573593368475104e-4,-3.802158426693073,162
valorem,485,1,9.155832265152902e-5,0.001271967974178133,-3.796227503475292,486
resident,147,0,3.051944088384301e-5,3.86437232113851e-4,-3.66243366302646,147
shares,145,0,3.051944088384301e-5,3.8119740523773096e-4,-3.64273786168554,145
unit,143,0,3.051944088384301e-5,3.7595757836161094e-4,-3.6227694454529438,143
kisan,27,14,8.850637856314472e-4,7.204761954665018e-5,3.618758762825656,41
agreement,142,0,3.051944088384301e-5,3.733376649235509e-4,-3.61268062782936,142
dollars,31,16,0.0010071415491668192,8.252727329889021e-5,3.609251677081281,47
rajasthan,14,7,4.577916132576451e-4,3.798874485187009e-5,3.59104708170369,21
bcd,138,0,3.051944088384301e-5,3.628580111713109e-4,-3.5716046848264447,138
rationalisation,137,0,3.051944088384301e-5,3.602380977332509e-4,-3.561150327189278,137
depreciation,136,0,3.051944088384301e-5,3.576181842951909e-4,-3.5506196596971087,136
incidence,135,0,3.051944088384301e-5,3.5499827085713086e-4,-3.5400115601311275,135
nda,13,6,3.967527314899591e-4,3.536883141381009e-5,3.4876896972003673,19
occurs,11,5,3.357138497222731e-4,3.0129004537690074e-5,3.478007143803028,16
schedule,126,0,3.051944088384301e-5,3.314190499145908e-4,-3.440856093471566,126
consortium,21,9,5.798693767930171e-4,5.632813891829014e-5,3.3638002399642315,30
amend,119,0,3.051944088384301e-5,3.1307965584817076e-4,-3.3587293267580045,119
chemicals,118,0,3.051944088384301e-5,3.104597424101108e-4,-3.3466057676755154,118
charged,116,0,3.051944088384301e-5,3.0521991553399076e-4,-3.3220486634315365,116
evasion,116,0,3.051944088384301e-5,3.0521991553399076e-4,-3.3220486634315365,116
fibre,116,0,3.051944088384301e-5,3.0521991553399076e-4,-3.3220486634315365,116
wealth,347,1,9.155832265152902e-5,9.104199197258522e-4,-3.3137691856669695,348
drugs,114,0,3.051944088384301e-5,2.9998008865787074e-4,-3.2970663068742,114
elections,15,6,3.967527314899591e-4,4.06086582899301e-5,3.2883808889769606,21
