topic,topic_label,estimate,se,tstat,pval,ci_lo,ci_hi,sig,direction
1,T1: outstanding,-0.04726361279487649,0.08428110067400722,-0.5607854242161417,0.5764545937353331,-0.21245457011593064,0.11792734452617767,,INC higher
2,T2: manifesto,-0.08279935311058413,0.07953272422401349,-1.0410727649334606,0.30086485257431694,-0.23868349258965055,0.0730847863684823,,INC higher
3,T3: fertilizers,0.03386758246079705,0.0997813370572218,0.33941800600822714,0.735152188178507,-0.16170383817135767,0.22943900309295176,,BJP higher
4,T4: hindu,0.037239482943137864,0.08902593104902484,0.418299280943558,0.6768086475086306,-0.13725134191295082,0.21173030779922655,,BJP higher
5,T5: tonnes,-0.12413603158355438,0.1053812104193562,-1.1779712065325958,0.24217454920544693,-0.33068320400549256,0.08241114083838377,,INC higher
6,T6: nabard,0.1144768961387237,0.12106449682632918,0.9455860234808922,0.3471044620139603,-0.1228095176408815,0.3517633099183289,,BJP higher
7,T7: grants,-0.02163493795109355,0.08613044404449252,-0.25118804612127116,0.8022895620505265,-0.1904506082782989,0.1471807323761118,,INC higher
8,T8: annas,-5.769624508805847e-4,0.0676134605894328,-0.008533248348047981,0.9932120125849745,-0.13309934520616887,0.13194542030440767,,INC higher
9,T9: gst,0.0626198553168197,0.08034062845402867,0.779429493169214,0.4379435675945943,-0.0948477764530765,0.22008748708671588,,BJP higher
10,T10: gains,0.026591290026930805,0.11138596841282904,0.23873105747373577,0.8119025898853123,-0.1917252080622141,0.24490778811607572,,BJP higher
