topic,frex_top10,prob_top10,lift_top10
1,"provinces, pakistan, outstanding, kingdom, cloth, sterling, pies, agreed, owing, rehabilitation","balance, position, food, schemes, amount, payments, import, commission, debt, effect","reassuring, creditworthiness, earthenware, ordnance, betelnuts, prospective, famine, yard, mint, damodar"
2,"manifesto, macro, reform, election, adjustment, eighth, crisis, mutual, chelliah, protection","rates, rate, import, fiscal, sector, reduce, system, exchange, scheme, payments","barest, chelliah, requesting, xylenes, jewelry, polystyrene, narasimha, predicted, compression, consumerism"
3,"fertilizers, season, naye, selective, output, increases, certificates, budgetary, busy, priority","rate, rates, industries, import, situation, respect, proposals, savings, bank, budgetary","accentuate, countervalling, hesitated, reinforces, shipments, kudremukh, vaporising, exigencies, disclosures, octroi"
4,"hindu, wealth, overdrafts, regulatory, justice, undivided, varieties, accrue, contributions, litre","rate, rates, growth, wealth, proposals, agricultural, schemes, respect, items, exemption","brandy, embroidery, heroic, overlook, reckoning, whisky, lubricating, greases, refugee, corks"
5,"tonnes, auxiliary, valorem, drought, seventh, clearances, polyester, sixth, performance, concessional","rate, sector, rural, rates, scheme, respect, valorem, programme, outlay, growth","aonla, bijaipur, cms, cook, eradicate, hazira, infancy, letting, nowgong, pernicious"
6,"nabard, ssi, rbi, upa, cenvat, ridf, ncmp, vat, rrbs, disinvestment","sector, scheme, rate, growth, rural, banks, provide, infrastructure, fiscal, reduce","baglihar, broker, courageous, demerit, downsizing, drts, ecbs, foreclosure, gdrs, gpf"
7,"loan, grants, heads, naye, treasury, variations, loans, miscellaneous, index, bills","loans, net, rate, savings, outlay, amount, bank, grants, steel, loan","convened, daman, bolder, evacuee, explanations, rourkela, realisations, zealand, chiefly, yugoslavia"
8,"annas, dollar, war, balances, partition, devaluation, dominions, sterling, pakistan, agreement","position, annas, balance, cotton, food, war, sterling, raw, defence, policy","abrupt, vain, troops, subsidising, enquiries, tola, dominions, bales, rulers, shifts"
9,"gst, bcd, msmes, aadhaar, ppp, online, ifsc, digital, nil, cpses","provide, act, scheme, sector, infrastructure, rate, services, growth, set, nil","controllers, cyber, mgnrega, palladium, read, registry, samriddhi, semiconductor, stearin, subordinate"
10,"gains, gic, ownership, yarn, shares, attracting, lic, revise, salaried, found","rates, rate, companies, sector, taxes, view, yarn, gains, reduction, reduce","plank, dwelt, accidents, glasses, alongwith, gic, ineffective, popularly, accountants, chartered"
