budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,pm_name,government_coalition,full_url,pdf_filename,download_status,word_count
1947-48,1947,full,R.K. Shanmukham Chetty,INC,INC,Jawaharlal Nehru,Nehru-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs194748.pdf,bs194748.pdf,success,10015
1963-64,1963,full,T.T. Krishnamachari,INC,INC,Jawaharlal Nehru,Nehru-IV,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196364.pdf,bs196364.pdf,success,10525
1977-78,1977,interim,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197778(I).pdf,bs197778_I_.pdf,success,802
1995-96,1995,full,Manmohan Singh,INC,INC,P.V. Narasimha Rao,Rao,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199596.pdf,bs199596.pdf,success,12256
1948-49,1948,full,R.K. Shanmukham Chetty,INC,INC,Jawaharlal Nehru,Nehru-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs194849.pdf,bs194849.pdf,success,15404
1964-65,1964,full,T.T. Krishnamachari,INC,INC,Lal Bahadur Shastri,Shastri,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196465.pdf,bs196465.pdf,success,12862
1978-79,1978,full,H.M. Patel,Janata,Other,Morarji Desai,Janata,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs197879.pdf,bs197879.pdf,success,11096
1996-97,1996,full,P. Chidambaram,TMC,INC,H.D. Deve Gowda,United Front,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs199697.pdf,bs199697.pdf,success,12030
1949-50,1949,full,John Mathai,INC,INC,Jawaharlal Nehru,Nehru-I,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs194950.pdf,bs194950.pdf,success,11589
1965-66,1965,full,T.T. Krishnamachari,INC,INC,Lal Bahadur Shastri,Shastri,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs196566.pdf,bs196566.pdf,success,11809
